timestamp,frame_size,elapsed_s,frame_count,total_overruns,avg_frame_ms,fps
# run 2026-05-31 17:03:36, fc=96.5MHz, fs=2.4MSPS, gain=40dB, frame_size=16384
2026-05-31 17:03:39,16384,3.2,18,2624,52.5,19.0
2026-05-31 17:03:45,16384,8.3,324,146944,17.1,58.4
2026-05-31 17:03:50,16384,13.3,612,291264,17.0,58.7
2026-05-31 17:03:55,16384,18.5,900,450344,18.7,53.6
2026-05-31 17:04:00,16384,23.6,1170,597616,19.3,51.8
2026-05-31 17:04:05,16384,29.0,1440,769488,22.6,44.3
2026-05-31 17:04:11,16384,34.4,1692,906920,19.9,50.2
2026-05-31 17:04:16,16384,39.5,1944,1073872,19.7,50.8
2026-05-31 17:04:21,16384,44.6,2196,1235576,20.3,49.3
2026-05-31 17:04:26,16384,49.8,2412,1363824,19.3,51.9
2026-05-31 17:04:31,16384,55.1,2664,1530448,20.8,48.2
2026-05-31 17:04:37,16384,60.3,2880,1586536,22.6,44.2
# end of run, total_frames=3084, total_time=65.0s

# run 2026-05-31 17:05:49, fc=96.5MHz, fs=2.4MSPS, gain=40dB, frame_size=16384
2026-05-31 17:05:53,16384,3.6,18,2624,82.1,12.2
2026-05-31 17:05:58,16384,8.8,288,155472,21.8,45.8
2026-05-31 17:06:03,16384,14.0,612,297168,16.7,59.9
2026-05-31 17:06:08,16384,19.1,882,451656,22.7,44.1
2026-05-31 17:06:14,16384,24.3,1152,614672,19.9,50.2
2026-05-31 17:06:19,16384,29.6,1422,778016,20.3,49.3
2026-05-31 17:06:24,16384,34.9,1674,947264,21.4,46.7
2026-05-31 17:06:29,16384,39.9,1926,1110280,19.3,51.7
2026-05-31 17:06:34,16384,44.9,2160,1268048,22.2,45.0
2026-05-31 17:06:40,16384,50.2,2412,1443856,20.7,48.3
2026-05-31 17:06:45,16384,55.4,2646,1618024,21.9,45.7
2026-05-31 17:06:50,16384,60.8,2880,1793176,23.8,42.0
2026-05-31 17:06:56,16384,66.2,3114,1980464,23.6,42.3
# end of run, total_frames=3117, total_time=66.5s

# run 2026-05-31 17:06:59, fc=96.5MHz, fs=2.4MSPS, gain=40dB, frame_size=16384
2026-05-31 17:07:02,16384,3.2,18,3280,54.7,18.3
2026-05-31 17:07:07,16384,8.2,306,142024,16.6,60.3
2026-05-31 17:07:12,16384,13.4,594,298480,18.9,52.8
2026-05-31 17:07:17,16384,18.7,864,464448,19.1,52.2
2026-05-31 17:07:22,16384,23.8,1134,616968,18.6,53.7
2026-05-31 17:07:28,16384,29.1,1404,784248,19.6,51.0
2026-05-31 17:07:33,16384,34.3,1674,947920,19.6,50.9
2026-05-31 17:07:38,16384,39.3,1908,1110936,21.1,47.5
2026-05-31 17:07:43,16384,44.5,2142,1279856,21.3,47.1
2026-05-31 17:07:48,16384,49.6,2376,1451728,23.3,43.0
2026-05-31 17:07:54,16384,55.1,2610,1629504,23.6,42.5
2026-05-31 17:07:59,16384,60.2,2844,1805640,20.8,48.1
2026-05-31 17:08:04,16384,65.4,3078,1977840,20.9,47.7
# end of run, total_frames=3096, total_time=66.1s

# run 2026-05-31 17:08:24, fc=96.5MHz, fs=2.4MSPS, gain=40dB, frame_size=16384
2026-05-31 17:08:27,16384,3.7,18,2624,83.5,12.0
2026-05-31 17:08:32,16384,8.9,342,138744,16.3,61.5
2026-05-31 17:08:38,16384,14.0,666,277488,16.4,60.8
2026-05-31 17:08:43,16384,19.2,990,418856,16.4,61.0
2026-05-31 17:08:48,16384,24.2,1314,555304,15.4,64.7
2026-05-31 17:08:53,16384,29.3,1602,705200,17.0,58.9
2026-05-31 17:08:58,16384,34.4,1872,855096,17.5,57.1
2026-05-31 17:09:03,16384,39.4,2124,1015488,21.2,47.1
2026-05-31 17:09:08,16384,44.6,2376,1186376,20.2,49.5
2026-05-31 17:09:13,16384,49.8,2610,1352672,23.0,43.6
2026-05-31 17:09:19,16384,55.1,2862,1528152,21.3,46.9
2026-05-31 17:09:24,16384,60.1,3096,1695104,21.7,46.2
2026-05-31 17:09:29,16384,65.3,3330,1858776,22.3,44.9
2026-05-31 17:09:34,16384,70.7,3582,2041800,21.6,46.2
2026-05-31 17:09:39,16384,75.7,3816,2205800,21.5,46.4
2026-05-31 17:09:44,16384,80.8,4050,2370128,20.8,48.1
2026-05-31 17:09:50,16384,86.1,4302,2544624,21.0,47.6
2026-05-31 17:09:55,16384,91.1,4572,2693864,16.2,61.9
2026-05-31 17:10:00,16384,96.2,4878,2841136,17.3,57.7
# end of run, total_frames=4905, total_time=97.0s

# run 2026-05-31 17:10:08, fc=96.5MHz, fs=2.4MSPS, gain=40dB, frame_size=16384
2026-05-31 17:10:11,16384,3.6,18,1968,79.2,12.6
2026-05-31 17:10:16,16384,8.7,324,144648,16.3,61.2
2026-05-31 17:10:22,16384,13.7,630,283720,16.9,59.3
2026-05-31 17:10:27,16384,18.8,900,435256,19.6,51.1
2026-05-31 17:10:32,16384,24.0,1188,595320,18.8,53.3
2026-05-31 17:10:37,16384,29.0,1458,748496,19.1,52.5
2026-05-31 17:10:42,16384,34.1,1710,906264,20.4,49.1
2026-05-31 17:10:47,16384,39.3,1980,1067312,19.6,51.0
2026-05-31 17:10:52,16384,44.5,2232,1239512,21.3,46.9
2026-05-31 17:10:57,16384,49.6,2484,1399904,21.0,47.6
2026-05-31 17:11:03,16384,54.9,2736,1572432,20.7,48.3
2026-05-31 17:11:08,16384,59.9,2970,1730528,21.7,46.1
# end of run, total_frames=3219, total_time=65.4s

# run 2026-05-31 17:11:29, fc=96.5MHz, fs=2.4MSPS, gain=40dB, frame_size=32768
2026-05-31 17:11:33,32768,3.8,18,3936,82.5,12.1
